sofifa_id,short_name,long_name,player_positions,nationality
232432,L. Jovic,Luka Jovic,ST,Serbia
232656,T. Hernandez,Theo Bernard Francois Hernandez,LB,France
232665,M. Arambarri,Mauro Wilney Arambarri Rosa,"CDM, CM",Uruguay
236632,David Neres,David Neres Campos,"LW, RW, CAM",Brazil
239207,M. Gomez,Maximiliano Gomez Gonzalez,ST,Uruguay
213648,P. Hojbjerg,Pierre-Emile Hojbjerg,CDM,Denmark
221660,V. Lindelof,Victor Nilsson Lindelof,CB,Sweden
227127,Alex Remiro,Alejandro Remiro Gargallo,GK,Spain
203574,J. Stones,John Stones,CB,England
204311,K. Zouma,Kurt Happy Zouma,CB,France
206517,J. Grealish,Jack Grealish,"LW, CAM, CM",England
208330,A. Januzaj,Adnan Januzaj,"RW, RM",Belgium
208596,A. Belotti,Andrea Belotti,ST,Italy
210406,P. Zielinski,Piotr Zielinski,"CM, LM",Poland
210411,Otavio,Otavio Edmilson da Silva Monteiro,"RM, CAM, CM",Brazil
211320,D. Rugani,Daniele Rugani,CB,Italy
214979,J. Musso,Juan Agustin Musso,GK,Argentina
219683,C. Tolisso,Corentin Tolisso,"CM, CDM",France
221992,H. Lozano,Hirving Rodrigo Lozano Bahena,"RW, ST, LW",Mexico
223874,V. Rongier,Valentin Rongier,"CM, CDM",France
227055,Gelson Martins,Gelson Dany Batalha Martins,"RM, RW",Portugal
227950,Yeray,Yeray Alvarez Lopez,CB,Spain
229668,Mario Hermoso,Mario Hermoso Canseco,CB,Spain
199005,M. Ryan,Mathew Ryan,GK,Australia
201922,M. Hinteregger,Martin Hinteregger,CB,Austria
212404,F. Bernardeschi,Federico Bernardeschi,"CAM, RM",Italy
199503,G. Xhaka,Granit Xhaka,"CDM, CM",Switzerland
199823,Campana,Jose Angel Gomez Campana,"CM, LM, CDM",Spain
200536,N. Schulz,Nico Schulz,"LB, LM, LWB",Germany
200726,B. Lecomte,Benjamin Lecomte,GK,France
202166,J. Draxler,Julian Draxler,"CAM, CM, LW",Germany
202477,Deulofeu,Gerard Deulofeu Lazaro,"LM, CF",Spain
202562,J. Roussillon,Jerome Roussillon,"LB, LM",France
202695,J. Tarkowski,James Tarkowski,CB,England
204525,Inigo Martinez,Inigo Martinez Berridi,CB,Spain
205923,B. Davies,Ben Davies,"LB, LWB",Wales
206467,A. Plea,Alassane Plea,"ST, LW",France
